Product Name,Specification,Price
"Apple MacBook Air 15"" Laptop with M3 Chip - Starlight",16GB Unified Memory - 512GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,645.00"
"HP EliteBook x360 1040 G11 LTE Business Laptop 14"" FHD BV 1000nits Touch",Intel Core U7-165H - vPro - 32GB RAM - 512GB SSD - Win 11 Pro -AX WiFi 6E + BT5.3 - FPR - IR Cam - with Wacom Pen - 3Y NBD Onsite Warranty,"5,103.69"
"HP EliteBook 830 G11 13.3"" FHD AG 400nits Business Laptop",Intel Core U5-125U - 16GB RAM - 256GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,232.36"
"HP EliteBook x360 830 G11 LTE Business Laptop 13.3"" FHD BV 400nits Touch",Intel Core U7-165U - vPro - 32GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - Wacom Pen - FPR - IR Cam - 3Y NBD Onsite Warranty,"3,307.96"
"Dell Latitude 5000 Series 5340 Flip 2in1 Business Laptop 13.3"" FHD Touch",Intel Core i5-1335U - 16GB RAM - 256GB SSD - Win 11 Pro - 1Y Onsite Warranty,"1,343.54"
"HP EliteBook x360 830 G11 LTE Business Laptop 13.3"" FHD AG 1000nits SV Touch",Intel Core U5-135U - vPro - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - Wacom Pen - FPR - IR Cam - 3Y NBD Onsite Warranty,"2,695.92"
"HP ProBook x360 435 G10 Flip Business Laptop - with Pen 13.3"" FHD BV Touch",AMD Ryzen 5 7530U - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - 5MP Cam - USB-C (PD & DP2.1) - HDMI2.1b - Backlit Keyboard - 1Y Onsite Warranty,"1,661.26"
"HP EliteBook 640 G11 14"" WUXGA Touch Laptop",Intel Core Ultra 7 155U - 16GB RAM - 512GB SSD- Win 11 Pro - 3Y Onsite warranty,"2,844.00"
"HP ProBook 440 G11 Business Laptop 14"" WUXGA",Intel Core Ultra 5-125U - 16GB RAM - 512GB SSD - Win 11 Pro - 1Y Onsite Warranty,"2,085.32"
"Lenovo ThinkPad L14 G4 14"" FHD Laptop",Intel Core i5-1335U - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E + BT5.1 - 1Y Onsite Warranty,"1,834.00"
"Dynabook Tecra A50-K Business Laptop 15.6"" FHD",Intel Core i7-1360P - 16GB RAM - 512GB SSD - Win 11 Pro - 3Y Warranty - Thunderbolt,"2,185.00"
"HP EliteBook 840 G11 LTE Business Laptop 14"" FHD AG 300nits Touch",Intel Core U5-125U - 16GB RAM - 256GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Cam - 3Y NBD Onsite Warranty,"2,546.10"
"HP EliteBook 830 G11 13.3"" FHD AG 300nits Touch Business Laptop",Intel Core U5-135U - vPro - 16GB RAM - 256GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"2,300.00"
"HP EliteBook 860 G11 LTE Business Laptop 16"" FHD Touch AG 300nits",Intel Core U7-165U - vPro - 16GB RAM - 512GB SSD - Win 11 Pro - AX WiFi 6E + BT5.3 - FPR - IR Cam - 3Y NBD Onsite Warranty,"3,783.99"
"HP Elite Dragonfly G4 13.5"" WUXGA+ 400n Touch Business Laptop",Intel Core i7-1355U - 16GB RAM - 256GB NVMe SSD - AX WiFi 6E + BT5.3 - Win 11 Pro - 3Y NBD Onsite Warranty,"2,572.00"
"HP EliteBook 860 G11 16"" FHD AG 300nits Business Laptop",Intel Core U5-135U - vPro - 16GB RAM - 512GB SSD - AX WiFi 6E + BT5.3 - FPR - IR Cam - Win 11 Pro - 3Y NBD Onsite Warranty,"3,041.74"
"HP ZBook Studio G11 Mobile Workstation 16"" WUXGA",Intel Core Ultra 7 155H - 32GB RAM - 1TB SSD - NVIDIA RTX 4070 - Win 11 Pro - 3Y NBD Onsite Warranty - AX WiFi 7 + BT5.4,"5,518.85"
"Apple MacBook Air 15"" Laptop with M3 Chip - Starlight",16GB Unified Memory - 256GB SSD - 8-Core CPU - 10-Core GPU - 16-Core Neural Engine - 15.3 Inch Liquid Retina Display with TrueTone - 35W Dual USB-C Charger,"2,255.00"
